형태소,품사,개수
달콤,XR,6
꾸덕,NNG,4
풍미,NNG,4
디저트,NNG,3
브라우니,NNG,3
품다,VV,3
즐기다,VV,2
향긋,XR,2
균형,NNG,2
부담,NNG,1
미니,NNG,1
녹다,VV,1
꽃다발,NNG,1
쫀득하다,VA,1
쿠키,NNG,1
프랑스,NNP,1
오다,VV,1
촉촉,XR,1
아담,XR,1
입,NNG,1
설탕,NNG,1
밀가루,NNG,1
달콤하다,VA,1
식감,NNG,1
진하다,VA,1
진득,XR,1
화이트,NNG,1
초콜렛,NNG,1
녹아들다,VV,1
오독,NNG,1
호두,NNG,1
씹히다,VV,1
딸기,NNG,1
산뜻,XR,1
어우러지다,VV,1
상큼하다,VA,1
유자,NNG,1
새콤,XR,1
체리,NNG,1
다양,NNG,1
브라우니,NNP,1
퍼지다,VV,1
인기,NNG,1
만점,NNG,1
담다,VV,1
초콜릿,NNG,1
박히다,VV,1
헤이즐넛,NNG,1
조각,NNG,1
간편,XR,1
간식,NNG,1
